Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
145	Exp2_CtrlLine_FavTF	NegCtrlRegion	SYBR	Unknown	30.000788						30.186497	30.186497	0.26263085	Automatic Ct		Automatic			Automatic	0.06287207													
146	Exp2_CtrlLine_FavTF	NegCtrlRegion	SYBR	Unknown	Undetermined						30.186497	30.186497	0.26263085	Automatic Ct		Automatic			Automatic	0.06287207									true				
147	Exp2_CtrlLine_FavTF	NegCtrlRegion	SYBR	Unknown	30.372204						30.186497	30.186497	0.26263085	Automatic Ct		Automatic			Automatic	0.06287207													
169	Exp2_CtrlLine_IgG	NegCtrlRegion	SYBR	Unknown	Undetermined									Automatic Ct		Automatic			Automatic	0.06287207						true			true				
170	Exp2_CtrlLine_IgG	NegCtrlRegion	SYBR	Unknown	Undetermined									Automatic Ct		Automatic			Automatic	0.06287207						true			true				
171	Exp2_CtrlLine_IgG	NegCtrlRegion	SYBR	Unknown	Undetermined									Automatic Ct		Automatic			Automatic	0.06287207						true			true				
274	Exp2_CtrlLine_Input_0.008	NegCtrlRegion	SYBR	Unknown	26.708418						26.779558	26.781946	0.07475284	Automatic Ct		Automatic			Automatic	0.06287207													
275	Exp2_CtrlLine_Input_0.008	NegCtrlRegion	SYBR	Unknown	26.779558						26.779558	26.781946	0.07475284	Automatic Ct		Automatic			Automatic	0.06287207													
276	Exp2_CtrlLine_Input_0.008	NegCtrlRegion	SYBR	Unknown	26.857866						26.779558	26.781946	0.07475284	Automatic Ct		Automatic			Automatic	0.06287207													
250	Exp2_CtrlLine_Input_0.040	NegCtrlRegion	SYBR	Unknown	24.639225						24.639225	24.541245	0.20477392	Automatic Ct		Automatic			Automatic	0.06287207													
251	Exp2_CtrlLine_Input_0.040	NegCtrlRegion	SYBR	Unknown	24.678621						24.639225	24.541245	0.20477392	Automatic Ct		Automatic			Automatic	0.06287207													
252	Exp2_CtrlLine_Input_0.040	NegCtrlRegion	SYBR	Unknown	24.30589						24.639225	24.541245	0.20477392	Automatic Ct		Automatic			Automatic	0.06287207													
226	Exp2_CtrlLine_Input_0.200	NegCtrlRegion	SYBR	Unknown	22.22082						22.22082	22.242682	0.056086868	Automatic Ct		Automatic			Automatic	0.06287207													
