id	tissue1	tissue2	tissue3	tissue4	tissue5	tissue6	tissue7	tissue8	tissue9	tissue10	
gene1	902.9732	805.0006	847.7216	932.0024	881.2198	753.9513	951.3846	823.1515	891.5486	860.8666	
gene10	151.9959	142.1260	240.6751	229.4993	97.4930	108.6889	87.2049	170.1625	193.0621	174.3822	
gene11	98.8972	106.6351	86.7962	67.5627	76.7605	126.2190	51.4210	95.1449	137.6084	54.1380	
gene12	304.2021	311.7227	310.3198	299.1400	299.2817	304.2409	314.7102	303.4153	310.7712	303.9508	
gene13	465.2109	569.7334	531.9261	654.1908	447.4812	675.2342	618.2153	597.0796	607.4363	462.6155	
gene14	735.2831	754.3091	697.2597	676.8953	645.7763	676.8611	689.3050	649.0152	718.0377	658.3329	
gene15	863.8806	948.1142	885.0736	974.7450	891.3919	1005.3082	911.2940	924.5033	925.9250	926.5009	
gene16	712.7900	631.7236	617.0305	660.9262	627.4707	719.5762	642.1585	657.9468	626.2234	558.8684	
gene17	140.2464	141.0762	241.3606	230.0251	105.0958	99.6716	75.3311	174.9642	187.4739	176.8764	
gene18	902.0648	793.2074	851.7648	933.2378	878.0365	747.8157	953.4420	818.7231	892.9265	871.5032	
gene19	768.3719	774.1556	791.1730	764.3031	758.8671	836.9957	815.7760	796.4390	804.7772	765.4431	
gene2	851.5846	848.7880	845.3656	851.3905	827.0510	910.2261	842.2592	809.0422	865.3278	911.5853	
gene20	329.6580	224.6893	288.8884	314.8629	209.1634	255.8130	290.7072	290.9477	361.1075	338.9369	
gene3	147.0470	142.6020	241.6158	228.0230	101.9716	97.4905	80.4026	173.9290	187.5884	176.2535	
gene4	908.7091	804.3349	844.1024	930.7624	878.8499	747.1713	954.3460	814.2029	892.6959	848.6076	
gene5	788.4142	732.2148	694.8847	648.3915	675.9723	765.4058	784.6300	664.8014	816.7143	666.7881	
gene6	356.3052	365.3129	357.0286	356.5808	363.1835	357.1587	358.0879	358.9587	364.5223	347.7315	
gene7	309.9615	305.2826	353.8407	338.0427	290.0994	328.7157	346.9844	320.6757	248.7242	311.5613	
gene8	488.2735	488.4904	490.4485	487.9518	491.2208	490.4923	489.3263	491.1474	491.8685	490.6786	
gene9	142.2258	141.1784	243.4707	228.3627	105.3399	97.0846	77.1308	173.6573	188.8876	172.0102	
